"","Module","Name","P_D","CLASS","b_mass","MStem","Flength","c","z","Main.Class","order","Biog"
"267",68,"Alouatta guariba","D","MAMMAL",6549.004167,NA,NA,0,0,"MXDE","Primates","Neotropics"
"72",18,"Alouatta palliata","D","MAMMAL",7274.95,NA,NA,0,-0.341230649509073,"MDE","Primates","Neotropics"
"263",66,"Alouatta seniculus","D","MAMMAL",6145.539,NA,NA,0,0,"MXDE","Primates","Neotropics"
"242",61,"Amazona aestiva","D","BIRDS",451,NA,NA,0.666666666666667,0,"BDE","Psittaciformes","Neotropics"
"255",62,"Amazona amazonica","D","BIRDS",370,NA,NA,0,0,"BDE","Psittaciformes","Neotropics"
"268",68,"Amazona brasiliensis","D","BIRDS",327.37,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"217",58,"Amazona farinosa","D","BIRDS",625.99,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"243",61,"Amazona ochrocephala","D","BIRDS",476.94,NA,NA,0.5,0,"BDE","Psittaciformes","Neotropics"
"244",61,"Amazona ventralis","D","BIRDS",214,NA,NA,0,0,"BDE","Psittaciformes","Neotropics"
"131",36,"Anodorhynchus glauca","D","BIRDS",1331,NA,NA,0,NA,"BDE","Psittaciformes","Neotropics"
"100",23,"Anodorhynchus hyacinthinus","D","BIRDS",1331,NA,NA,0.777777777777778,NA,"BDE","Psittaciformes","Neotropics"
"218",58,"Aotus brumbacki","D","MAMMAL",800,NA,NA,0,0,"MXDE","Primates","Neotropics"
"136",39,"Ara ararauna","D","BIRDS",1125,NA,NA,0.857142857142857,0,"MXDE","Psittaciformes","Neotropics"
"108",26,"Ara chloropterus","D","BIRDS",1214,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"2",2,"Ara glaucogularis","D","BIRDS",783.99,NA,NA,0.5,0,"MDE","Psittaciformes","Neotropics"
"219",58,"Ara militaris","D","BIRDS",1134,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"191",48,"Ara severus","D","BIRDS",343,NA,NA,0,0,"BDE","Psittaciformes","Neotropics"
"257",63,"Aratinga euops","D","BIRDS",139.26,NA,NA,0,NA,"BDE","Psittaciformes","Neotropics"
"156",46,"Artibeus lituratus","D","MAMMAL",60.53533333,NA,NA,0,0,"BDE","Chiroptera","Neotropics"
"29",11,"Ateles belzebuth","D","MAMMAL",5000,NA,NA,0.722222222222222,0.866025403784439,"MDE","Primates","Neotropics"
"117",30,"Ateles chamek","D","MAMMAL",5999.983,NA,NA,0.75,0,"MXDE","Primates","Neotropics"
"73",18,"Ateles geoffroyi","D","MAMMAL",5284.939,NA,NA,0.448979591836735,1.70615324754536,"MDE","Primates","Neotropics"
"109",26,"Ateles paniscus","D","MAMMAL",7900.053,NA,NA,0.5,0,"MXDE","Primates","Neotropics"
"10",4,"Ateuchus squalidus","D","COLEOPTERA",NA,NA,NA,0,0,"MDE","Coleoptera","Neotropics"
"157",46,"Baryphthengus ruficapillus","D","BIRDS",141.65,NA,NA,0,0,"BDE","Coraciiformes","Neotropics"
"74",18,"Bassaricyon gabbii","D","MAMMAL",1250,NA,NA,0,-1.02369194852722,"MDE","Carnivora","Neotropics"
"260",65,"Bombycilla cedrorum","D","BIRDS",31.58,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"3",2,"Bos primigenius","D","MAMMAL",750000,NA,NA,0,0,"MDE","Artiodactyla","Neotropics"
"18",8,"Brotogeris chiriri","D","BIRDS",61.6,NA,NA,0.75,0,"BDE","Psittaciformes","Neotropics"
"269",68,"Brotogeris tirica","D","BIRDS",63,NA,NA,0.5,0,"MXDE","Psittaciformes","Neotropics"
"245",61,"Brotogeris versicolurus","D","BIRDS",71.53,NA,NA,0,0,"BDE","Psittaciformes","Neotropics"
"197",52,"Brycon ","D","FISH",NA,NA,NA,0.5,0,"MXDE","Characiformes","Neotropics"
"122",32,"Brycon amazonicus","D","FISH",NA,NA,NA,0.75,0,"FDE","Characiformes","Neotropics"
"201",54,"Brycon bicolor","D","FISH",NA,NA,NA,0.666666666666667,0,"MXDE","Characiformes","Neotropics"
"124",33,"Brycon falcatus","D","FISH",NA,NA,NA,0.5,0,"FDE","Characiformes","Neotropics"
"38",15,"Brycon hilarii","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"120",31,"Brycon melanopterus","D","FISH",NA,NA,NA,0.8,0,"FDE","Characiformes","Neotropics"
"204",55,"Cacajao melanocephalus","D","MAMMAL",3100,NA,NA,0,0,"MXDE","Primates","Neotropics"
"220",58,"Callicebus ornatus","D","MAMMAL",992.6139231,NA,NA,0,0,"MXDE","Primates","Neotropics"
"155",45,"Callicebus torquatus","D","MAMMAL",1050.002,NA,NA,0.75,NA,"MDE","Primates","Neotropics"
"270",68,"Callithrix penicillata","D","MAMMAL",342.003,NA,NA,0,0,"MXDE","Primates","Neotropics"
"75",18,"Caluromys derbianus","D","MAMMAL",297.002,NA,NA,0,-1.02369194852722,"MDE","Didelphimorphia","Neotropics"
"91",20,"Caluromys philander","D","MAMMAL",229.25,NA,NA,0,0,"MDE","Didelphimorphia","Neotropics"
"258",64,"Canis latrans","D","MAMMAL",13406.333,NA,NA,0.5,0,"MDE","Carnivora","Neotropics"
"154",44,"Caracara plancus","D","BIRDS",1078.62,NA,NA,0.666666666666667,NA,"BDE","Falconiformes","Neotropics"
"158",46,"Carpornis cucullata","D","BIRDS",74.19,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"76",18,"Cebus capucinus","D","MAMMAL",2733.317,NA,NA,0,1.02369194852722,"MDE","Primates","Neotropics"
"221",58,"Cebus kaapori","D","MAMMAL",2615.57325,NA,NA,0,0,"MXDE","Primates","Neotropics"
"159",46,"Celeus flavescens","D","BIRDS",139,NA,NA,0,0,"BDE","Piciformes","Neotropics"
